テーブル物理名,テーブル論理名,カラムラベル,カラム,データ型,キー・制約,必須,データ例,統合元（旧ツール:旧テーブル.旧カラム）,備考
Organization,組織（契約主体）マスタ,組織ID,id,uuid,PK / DEFAULT gen_random_uuid(),○,7cdf5ff5-4c7a-4733-8f9a-8a9ff2be2a34,採用エージェント:Organization.id,契約・課金・ログインの単位。他システムの法人・事業所マスタとの統合最優先候補
Organization,組織（契約主体）マスタ,事業所ID（ログインコード）,code,text,UNIQUE,○,TTT001,採用エージェント:Organization.code,ログイン画面で入力するコード。他システムとの突合キー候補
Organization,組織（契約主体）マスタ,組織名,name,text,,○,TTTグループ(運営),採用エージェント:Organization.name,
Organization,組織（契約主体）マスタ,課金免除フラグ,billingExempt,boolean,DEFAULT false,○,true,採用エージェント:Organization.billingExempt,運営者組織は true
Organization,組織（契約主体）マスタ,Stripe顧客ID,stripeCustomerId,text,,,cus_XXXXXXXX,採用エージェント:Organization.stripeCustomerId,未契約組織は NULL
Organization,組織（契約主体）マスタ,StripeサブスクリプションID,stripeSubscriptionId,text,,,sub_XXXXXXXX,採用エージェント:Organization.stripeSubscriptionId,
Organization,組織（契約主体）マスタ,契約プラン,plan,text,CHECK (starter/standard/pro),,standard,採用エージェント:Organization.plan,プラン定義本体はコード内定数（lib/billing/plans.ts）
Organization,組織（契約主体）マスタ,課金状態,subscriptionStatus,text,,,active,採用エージェント:Organization.subscriptionStatus,active / past_due / canceled / NULL（コード内区分）
Organization,組織（契約主体）マスタ,課金期間開始,currentPeriodStart,timestamptz,,,2026-07-01T00:00:00+09:00,採用エージェント:Organization.currentPeriodStart,
Organization,組織（契約主体）マスタ,課金期間終了,currentPeriodEnd,timestamptz,,,2026-07-31T23:59:59+09:00,採用エージェント:Organization.currentPeriodEnd,
Organization,組織（契約主体）マスタ,作成日時,createdAt,timestamptz,DEFAULT now(),○,2026-07-18T11:32:14+00:00,採用エージェント:Organization.createdAt,
Organization,組織（契約主体）マスタ,更新日時,updatedAt,timestamptz,DEFAULT now(),○,2026-07-18T11:32:14+00:00,採用エージェント:Organization.updatedAt,
User,ユーザー（ログインアカウント）マスタ,ユーザーID,id,uuid,PK,○,691f09b0-9b32-413c-beef-00bae6e76013,採用エージェント:User.id,Supabase Auth（auth.users）と同一ID。認証情報（パスワード）は Auth 側が保持
User,ユーザー（ログインアカウント）マスタ,メールアドレス,email,text,,○,user01@example.com,採用エージェント:User.email,一意性は Supabase Auth 側で担保。他システムのアカウント統合キー候補
User,ユーザー（ログインアカウント）マスタ,名前,name,text,,○,採用 花子,採用エージェント:User.name,実データには個人名でなく用途名（例: ○○掲載担当）を入れる運用も混在
User,ユーザー（ログインアカウント）マスタ,ロール,role,text,CHECK (super_admin/admin/member),○,member,採用エージェント:User.role,3階層ロール。他システムの権限マスタと統合可能性あり
User,ユーザー（ログインアカウント）マスタ,所属組織,orgId,uuid,FK(Organization.id),○,7cdf5ff5-4c7a-4733-8f9a-8a9ff2be2a34,採用エージェント:User.orgId,
User,ユーザー（ログインアカウント）マスタ,作成日時,createdAt,timestamptz,DEFAULT now(),○,2026-03-29T15:39:06+00:00,採用エージェント:User.createdAt,updatedAt 列なし
Office,事業所（施設）マスタ,事業所ID,id,uuid,PK / DEFAULT gen_random_uuid(),○,d4fc0f55-d3d0-42a5-9cf5-68b70451c609,採用エージェント:Office.id,他システムの事業所・施設マスタと統合可能性大
Office,事業所（施設）マスタ,事業所名,name,text,,○,有料老人ホームたいよう本館,採用エージェント:Office.name,住所・電話等の属性列は無し（名称のみ）
Office,事業所（施設）マスタ,登録者,createdBy,uuid,FK(User.id),,691f09b0-9b32-413c-beef-00bae6e76013,採用エージェント:Office.createdBy,
Office,事業所（施設）マスタ,所属組織,orgId,uuid,FK(Organization.id),○,7cdf5ff5-4c7a-4733-8f9a-8a9ff2be2a34,採用エージェント:Office.orgId,
Office,事業所（施設）マスタ,作成日時,createdAt,timestamptz,DEFAULT now(),○,2026-03-29T16:54:15+00:00,採用エージェント:Office.createdAt,
JobType,職種マスタ,職種ID,id,uuid,PK / DEFAULT gen_random_uuid(),○,f1f47d99-fd2a-4f27-b9ed-5e6abc2ded60,採用エージェント:JobType.id,設定画面（/settings/job-types）で管理
JobType,職種マスタ,職種名,name,text,,○,在宅看護,採用エージェント:JobType.name,初期設計では UNIQUE。マルチテナント化後の組織単位一意性は実DB要確認
JobType,職種マスタ,職種カラー,color,text,DEFAULT '#6b7280',○,#3b82f6,採用エージェント:JobType.color,migration SQL に無い実DB独自カラム。選択肢は画面内20色パレット（コード内定数）
JobType,職種マスタ,所属組織,orgId,uuid,FK(Organization.id),○,7cdf5ff5-4c7a-4733-8f9a-8a9ff2be2a34,採用エージェント:JobType.orgId,グローバルマスタでなく組織別マスタ
JobType,職種マスタ,作成日時,createdAt,timestamptz,DEFAULT now(),○,2026-03-29T16:52:21+00:00,採用エージェント:JobType.createdAt,
EmploymentType,勤務形態マスタ,勤務形態ID,id,uuid,PK / DEFAULT gen_random_uuid(),○,9cfc89c6-40d5-4616-a864-3ac2eacb9cfc,採用エージェント:EmploymentType.id,設定画面（/settings/employment-types）で管理
EmploymentType,勤務形態マスタ,勤務形態名,name,text,,○,正社員,採用エージェント:EmploymentType.name,コード内の雇用形態列挙（types/job-posting.ts）と二重管理
EmploymentType,勤務形態マスタ,所属組織,orgId,uuid,FK(Organization.id),○,7cdf5ff5-4c7a-4733-8f9a-8a9ff2be2a34,採用エージェント:EmploymentType.orgId,組織別マスタ
EmploymentType,勤務形態マスタ,作成日時,createdAt,timestamptz,DEFAULT now(),○,2026-03-29T16:53:23+00:00,採用エージェント:EmploymentType.createdAt,
(コード内定数),権限ロール区分,ロール,UserRole,text（列挙）,User.role の CHECK 制約と二重定義,,super_admin / admin / member,採用エージェント:(コード内定数).UserRole,types/auth.ts。コード内ハードコードのためテーブル化推奨。他システムの役職・権限マスタと統合可能性あり
(コード内定数),媒体（求人媒体）マスタ,媒体,Platform,text（列挙）,,,indeed / airwork / jobmedley / hellowork,採用エージェント:(コード内定数).Platform,types/platform.ts。表示名（Indeed/Airワーク等）は各画面に分散ハードコード。PlatformGuideline.platform の CHECK にも重複定義。テーブル化推奨
(コード内定数),料金プランマスタ,プラン定義,PLANS,jsonb相当（定数オブジェクト）,,,starter=ライト(月額4980円・クレジット2400円・1席) / standard=スタンダード(14800円・9600円・5席) / pro=プロ(39800円・40000円・無制限),採用エージェント:(コード内定数).PLANS,lib/billing/plans.ts。超過単価・Stripe Price ID 環境変数名も保持。改定履歴を持てないためテーブル化推奨
(コード内定数),実行種別・基準単価区分,実行種別,UsageKind / BASE_UNIT_PRICE_YEN,text（列挙）,,,team_a=800円 / team_b=400円,採用エージェント:(コード内定数).UsageKind,types/organization.ts・lib/billing/plans.ts。UsageLog.kind の CHECK と二重定義
(コード内定数),求人ステータス区分,ステータス,Job.status,text（列挙）,,,draft,採用エージェント:(コード内定数).JobStatus,現行コードは draft のみ使用。旧承認フロー値（in_review/approved/published/rejected）は廃止済みだが実DBに残存値の可能性。要検討: ステータス管理が実質未使用
(コード内定数),雇用形態区分,雇用形態,EmploymentType（型）,text（列挙）,,,正社員 / パート・アルバイト / 契約社員 / 派遣社員 / 業務委託 / インターン,採用エージェント:(コード内定数).EmploymentType,types/job-posting.ts。DBの EmploymentType マスタ（組織別・自由登録）と二重管理。統合時に正規化推奨
(コード内定数),業種マスタ,業種,INDUSTRIES,text（列挙・10種）,,,医療・介護 / IT・通信 / 飲食・フード / 小売・販売 / 事務・管理 / 営業 / 建設・製造 / 教育・保育 / 運輸・物流 / サービス・接客,採用エージェント:(コード内定数).INDUSTRIES,lib/smart-defaults.ts。テーブル化推奨
(コード内定数),職種カテゴリマスタ,職種カテゴリ,JOB_CATEGORIES,jsonb相当（業種→職種[]）,,,医療・介護=看護師 / 介護士・ヘルパー / 医療事務 / 薬剤師 / 理学療法士・作業療法士 ほか,採用エージェント:(コード内定数).JOB_CATEGORIES,lib/smart-defaults.ts。業種×職種の2階層。DBの JobType マスタと表記非連動。職種マスタへ一本化推奨
(コード内定数),都道府県マスタ,都道府県,Prefecture,text（列挙・47件）,,,北海道 / 東京都 / 大阪府 ほか47都道府県,採用エージェント:(コード内定数).Prefecture,types/job-posting.ts。全システム共通の汎用マスタとして統合可能
(コード内定数),給与種別区分,給与種別,salaryType,text（列挙）,,,時給 / 日給 / 月給 / 年収,採用エージェント:(コード内定数).salaryType,types/job-posting.ts CommonJobInfo
(コード内定数),給与表示方法区分,給与の表示方法,SalaryDisplayType,text（列挙）,,,範囲表示 / 下限表示 / 固定額表示,採用エージェント:(コード内定数).SalaryDisplayType,types/job-posting.ts。Indeed・Airワーク必須項目
(コード内定数),受動喫煙対策区分,受動喫煙対策,SmokingPolicy,text（列挙・6種）,,,屋内全面禁煙 / 屋内禁煙（喫煙専用室あり） / 喫煙可 / 対策なし ほか,採用エージェント:(コード内定数).SmokingPolicy,types/job-posting.ts。厚労省カテゴリ準拠
(コード内定数),社会保険区分,社会保険,socialInsurance,text[]（列挙）,,,雇用保険 / 労災保険 / 健康保険 / 厚生年金,採用エージェント:(コード内定数).socialInsurance,lib/smart-defaults.ts の既定値として列挙。要検討: 入力上は自由配列
(コード内定数),JobMedley施設種別区分,施設種別,JobMedleyFacilityType,text（列挙・15種）,,,クリニック / 病院 / 介護施設（特養・老健） / デイサービス / 訪問介護・看護 ほか,採用エージェント:(コード内定数).JobMedleyFacilityType,types/job-posting.ts。医療介護福祉特化
(コード内定数),ハローワーク求人区分,求人区分,HelloWorkJobCategory,text（列挙）,,,一般 / 新卒等 / 季節 / 出稼ぎ,採用エージェント:(コード内定数).HelloWorkJobCategory,types/job-posting.ts
(コード内定数),ハローワーク雇用期間区分,雇用期間,HelloWorkEmploymentPeriodType,text（列挙）,,,定めなし / 定めあり（4ヶ月以上） / 定めあり（4ヶ月未満） / 日雇,採用エージェント:(コード内定数).HelloWorkEmploymentPeriodType,types/job-posting.ts
(コード内定数),ハローワーク公開範囲区分,求人公開範囲,HelloWorkPublishingScope,text（列挙・4種）,,,1.求人情報を公開する（事業所名等を含む） ほか,採用エージェント:(コード内定数).HelloWorkPublishingScope,types/job-posting.ts
(コード内定数),学歴区分,学歴,educationLevel,text（列挙）,,,不問 / 高校 / 専門 / 短大・高専 / 大学 / 大学院,採用エージェント:(コード内定数).educationLevel,types/job-posting.ts（ハローワーク用）
